word	when	label	sentences
they'd	1 Before	General Negative Complaint	RT @shannonrwatts: 2) She's forcing them to change or put dresses on over leggings or they can't board. Since when does @united police women's clothing?
OK?	1 Before	Not a Complaint	RT @JimNorton: I applaud @united for making those girls change their leggings. Nothing on a plane offends me more than a comfortable woman.
backlash	1 Before	Not a Complaint	RT @_cingraham: Per @united	 this is the line in their passenger contract that allows them to refuse service to women wearing leggi…
controversy	1 Before	General Negative Complaint	RT @ArleneDickinson: Hey @united. I'm on @aircanada right now. I'm wearing leggings AND using my laptop. Never thought I would be so glad I could say that.
specific	1 Before	General Negative Complaint	RT @rowefinkbeiner: Go	 @shannonrwatts	 go! @united - It's past time to update your outdated sexist clothing policies https://t.co/iCtbRHY6uq #leggingsonplanes
dressing	1 Before	General Negative Complaint	RT @LucyFlores: Another reason to avoid @united. I'm flying @AlaskaAir tomorrow. Going to wear leggings. #leggingsonplanes https://t.co/QqFdOAEoQN
reporting	1 Before	High Intensity Complaint	@I_Heart_Hannahh @united they didn't let some young girls board unless they covered their leggings with a dress
catch	1 Before	General Negative Complaint	@united the problem with your dress code policy is it depends on how conservative or liberal ur gate agent is	2 bad most of dem are old 👎
@NickBolton13:	1 Before	General Negative Complaint	they're ain't any excuse for what y'all did so stop trying @united
United?	1 Before	General Negative Complaint	@united @shannonrwatts United Airlines	 you are such idiots. Grow up.
violate	1 Before	General Negative Complaint	@united We are all about family... Doing what we say!
what?	1 Before	Not a Complaint	RT @united: To our customers…your leggings are welcome! Learn more about our company’s pass travel privilege: https://t.co/5e3euG1H9G.
deemed	1 Before	Low Intensity Complaint	RT @originalspin: Journalist/Platinum flyer here	 @United: You block girls in leggings from flights but you're promoting yourself w/T…
upsetting	1 Before	High Intensity Complaint	RT @originalspin: Journalist/Platinum flyer here	 @United: You block girls in leggings from flights but you're promoting yourself w/T…
tight	1 Before	General Negative Complaint	RT @originalspin: Journalist/Platinum flyer here	 @United: You block girls in leggings from flights but you're promoting yourself w/T…
PAYING	1 Before	Not a Complaint	RT @jennvzande: @shannonrwatts Hey	 @united	 you know how this ends	 right? Images of women in leggings tagging you on social as they fly your competition.
@APerzanowski	1 Before	General Negative Complaint	RT @shannonrwatts: 1) A @united gate agent isn't letting girls in leggings get on flight from Denver to Minneapolis because spandex is not…
@levarburton	1 Before	General Negative Complaint	@Sethrogen @united Analogous to your service dog policy enforced by folks whose elevator doesn't go to the top floor!
@loosebricks	1 Before	High Intensity Complaint	@united dont forget that this girl's dad was wearing SHORTS and that was okay - this is sexism	 plain and simple - we will not fly with you
fitting	1 Before	Not a Complaint	RT @fjmanion: @united you have no business telling anyone what to wear	 especially when they are not on duty. What gives you this right? Boycott United.
Casual	1 Before	Not a Complaint	@united your CEO needs to change your dress code quickly it is the dress code of an old white man in a suit and is about to blow up
local	1 Before	Not a Complaint	Thanks to @united for clarifying the details on #leggingsgate. Still will never fly your airline.
nonrev	1 Before	Not a Complaint	@WhitneyCummings might wanna get your facts straight...they were flying with an employee pass requiring a dress code representing @united
tights	1 Before	Not a Complaint	@DrFishpond @EdTravelpants @chhopsky @united @GeoffThorne when I was a kid travelling on my dad's tickets I couldn't wear jeans. Not hard
"leggings"	1 Before	Not a Complaint	@WhitneyCummings @calsquared @united Give this girl ALL THE POINTS 👏👏👏👏👏👏👏👏👏👏👏👏
casual	1 Before	General Negative Complaint	@united yall are the worst. id smear shit on the bathroom walls of ur plane if i ever had to (against my will of course)
afford	1 Before	High Intensity Complaint	@united I think this entire debacle demonstrates that your policy is antiquated	 sexist	 and arcane. Time to evolve.
welcome	1 Before	General Negative Complaint	RT @WhitneyCummings: hey @united we have to wear spandex on your airline because passengers have to do yoga in order to fit into your shitty overpriced seats
incidents	1 Before	Low Intensity Complaint	@united Does not make it ok. You pay starvation wages and rip off your employees every 3 or 4 years by going 'bankrupt'
ignored	1 Before	High Intensity Complaint	@united fuk you
America's	1 Before	Not a Complaint	@WhitneyCummings @united they were using employee passes which require dress code.
mistake.	1 Before	General Negative Complaint	RT @JoshDenny: On my way to @lululemon to buy the tightest	 most see-thru leggings possible for my next @united flight. Let's get weird!
@jennvzande	1 Before	Not a Complaint	RT @shannonrwatts: A 10-year-old girl in gray leggings. She looked normal and appropriate. Apparently @united is policing the clothing…
Disgusting.	1 Before	Not a Complaint	RT @ArleneDickinson: Hey @united. I'm on @aircanada right now. I'm wearing leggings AND using my laptop. Never thought I would be so glad I could say that.
month.	1 Before	Not a Complaint	Seriously...Why @united ? https://t.co/89Ugqnnd5a
@HarMarSuperstar:	1 Before	General Negative Complaint	RT @shannonrwatts: 3) Gate agent for flt 215 at 7:55. Said she doesn't make the rules	 just follows them. I guess @united not letting women wear athletic wear?
welcoming	1 Before	General Negative Complaint	@Elianna72 @ChivasSandage @united The policy may not be sexist but the enforcement was. Dad was allowed to board in shorts.
regards	1 Before	Not a Complaint	RT @TheMaverick21: @KirstenPowers @kinseyschofield @united I was stopped for not wearing a tie on pass travel (1st class) with AA. Dress code is pretty strict.
angry	1 Before	Not a Complaint	@Shar0n_Valencia @BaxtersBrain @shannonrwatts @united Free ticket from employer	 you follow their rules or pay for your own.
passengers?	1 Before	General Negative Complaint	RT @Sethrogen: We here at @united are just trying to police the attire of the daughters of our employees! That's all! Cool	 right? https://t.co/xGyL4IAslE
@BradThor	1 Before	Not a Complaint	@united To you: we aren't your customers anymore.
;)	1 Before	Not a Complaint	RT @PattyArquette: @united Do you have a secondary fail safe from a supervisor to make these calls?
three	1 Before	Not a Complaint	RT @united: The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.
extremely	1 Before	General Negative Complaint	RT @united: The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.
discounted	1 Before	General Negative Complaint	RT @shannonrwatts: A 10-year-old girl in gray leggings. She looked normal and appropriate. Apparently @united is policing the clothing…
personnel	1 Before	High Intensity Complaint	RT @united: To our customers…your leggings are welcome! Learn more about our company’s pass travel privilege: https://t.co/5e3euG1H9G.
everywhere	1 Before	Not a Complaint	@PattyArquette @united I totally agree with this statement. Leave these youngsters along.
Safety	1 Before	Not a Complaint	@jenarific @united they were flying on an employee pass an required to abide by employee dress code. Non issue.
space	1 Before	Not a Complaint	RT @JoshDenny: On my way to @lululemon to buy the tightest	 most see-thru leggings possible for my next @united flight. Let's get weird!
passes.	1 Before	General Negative Complaint	RT @originalspin: Journalist/Platinum flyer here	 @United: You block girls in leggings from flights but you're promoting yourself w/T…
cover	1 Before	General Negative Complaint	when you are boarding your @united flight and you see a child wearing leggings https://t.co/X7SQjmr033
sound	1 Before	Not a Complaint	RT @darvinsportmgmt: @shannonrwatts @united funny	 United Airlines encourages this type of attire when it suits their marketing needs https://t.co/NSMGcJ44vf
solo	1 Before	General Negative Complaint	RT @tigerbaker: @united @shannonrwatts "not properly clothed". well	 everywhere else in the world she was properly clothed.
n	1 Before	Not a Complaint	RT @tigerbaker: @united @shannonrwatts "not properly clothed". well	 everywhere else in the world she was properly clothed.
you'd	1 Before	General Negative Complaint	RT @united: @shannonrwatts (2/2) There is a dress code for pass travelers as they are representing UA when they fly. ^KP
shit.	1 Before	General Negative Complaint	RT @leaconner: @united @shannonrwatts UA's application of "pass rider" appropriate attire rule to little girls wearing legging is pure sexism.
Yep	1 Before	Not a Complaint	RT @shannonrwatts: A 10-year-old girl in gray leggings. She looked normal and appropriate. Apparently @united is policing the clothing…
hated	1 Before	Not a Complaint	RT @Sethrogen: We here at @united are just trying to police the attire of the daughters of our employees! That's all! Cool	 right? https://t.co/xGyL4IAslE
"We're	1 Before	General Negative Complaint	RT @shannonrwatts: 2) She's forcing them to change or put dresses on over leggings or they can't board. Since when does @united police women's clothing?
thoughtful	1 Before	High Intensity Complaint	Got my outfit all picked out for my next @united flight. https://t.co/qTbKvFgMdq
banning	1 Before	General Negative Complaint	RT @markokloos: @shannonrwatts @madge707 And yet @united has no issues with the sandal-wearing dude who clips his toenails next to me at 30	000 feet.
"pass	1 Before	Not a Complaint	.@rowefinkbeiner @united Here is the non-rev dress code for united. Notice the NO SPANDEX. You may want to pass it on... https://t.co/Pqzp1QdpxK
enforcing	1 Before	General Negative Complaint	RT @Doreen13: @_cingraham Well I can honestly say I will never ever fly with them again... @united
WEIRD	1 Before	General Negative Complaint	@CBarrows @JoelRRenner @SouthwestAir @united @JetBlue @Delta If a diff airline let me use their lounge	 they'd have a customer for life.
SEXUALIZATION	1 Before	Not a Complaint	@Tristina55 @Heather_Poole @SFDoug @united Yes. United gate agent should have been transparent
girls.…	1 Before	General Negative Complaint	RT @brittdrehobl: They were female children wearing leggings. Get a grip	 @united. This	 among other atrocities	 are why I fly…
role	1 Before	Not a Complaint	@laurarmalone @shannonrwatts @ZachDobson @united Which makes it a little difficult to follow.
He's	1 Before	Not a Complaint	RT @twjpdx23: @shannonrwatts @united seems to me a person in leggings is gonna have an easier time evacuating than someone in a dress.
planning	1 Before	General Negative Complaint	RT @ecigcaffeineboy: Congrats to @united on becoming the official airline of the alt-right. https://t.co/DKt0r2ZcuQ
yourselves	1 Before	General Negative Complaint	RT @ecigcaffeineboy: Congrats to @united on becoming the official airline of the alt-right. https://t.co/DKt0r2ZcuQ
straight	1 Before	General Negative Complaint	This is a first. Leggings worn by women and girls considered inappropriate on @united flight? Really? https://t.co/xtsUjAHxLC
dealt	1 Before	Not a Complaint	@JoshDenny @lululemon @united I find the white ones with no underwear are the best. Gives you that sheer pantihose look without the runner
@mariamakenna	1 Before	General Negative Complaint	RT @united: @shannonrwatts (2/2) There is a dress code for pass travelers as they are representing UA when they fly. ^KP
difference	1 Before	Not a Complaint	RT @united: @shannonrwatts (2/2) There is a dress code for pass travelers as they are representing UA when they fly. ^KP
applaud	1 Before	Not a Complaint	RT @armillspaugh: It's not going to be a pretty sight	 but I'm going to wear yoga pants for my next @united flight.
Ever.	1 Before	Not a Complaint	Dear @united - If I book a flight on Ur website from India	 will I be charged in INR or USD?
family.	1 Before	General Negative Complaint	@united how can u tell women what to wear?? What is wrong with leggings ..they are comfortable to travel in...are you now dictators as well?
truth	1 Before	General Negative Complaint	RT @kelseybarely: @united next thing you know I won't be able to wear my moose pants on the plane https://t.co/cly8rsj2Qn
enforced	1 Before	General Negative Complaint	RT @ukuleledan: @united Your policy is crap. 10 year old dependents don't represent your company. But your ads literally do: https://t.co/EXRRE4TNdz
smart	1 Before	Not a Complaint	The other possible @united scenario: the Non-rev pass rider was denied for lack of available seats	 and the clothing was irrelevant
FREE	1 Before	Not a Complaint	@rachelsklar @shannonrwatts @united yep	 strangely	 men know how to read the policy https://t.co/ebEbqsVVPt
happened.	1 Before	Not a Complaint	@united #dinosaurs https://t.co/MNoCpx5cJd
Pay	1 Before	High Intensity Complaint	I personally experienced unacceptable gendered bias and antagonism from @united employee while boarding a 3/18 @united flight at Newark 2/
evening	1 Before	Low Intensity Complaint	I personally experienced unacceptable gendered bias and antagonism from @united employee while boarding a 3/18 @united flight at Newark 2/
barely	1 Before	General Negative Complaint	@united what is wrong with you people. Seriously.
accidentally	1 Before	Low Intensity Complaint	@united what is wrong with you people. Seriously.
@smerconish	1 Before	General Negative Complaint	RT @PattyArquette: @united Leggings are business attire for 10 year olds. Their business is being children.
You'll	1 Before	General Negative Complaint	RT @aishatyler: Next @united will be telling you who to date or to avoid gaining weight *waggling finger* "or you won't get a husba…
cargo	1 Before	General Negative Complaint	@united @RebelMouse Dumb policy! The friends and family don't work for you so why do they have to abide by your arbitrary dress code.
plans	1 Before	High Intensity Complaint	RT @markhughesfilms: @united You're just repeating a simplistic & disingenuous claim. Rules DON'T mention leggings. She was a CHILD! You let a guy in shorts on.
America.	1 Before	Low Intensity Complaint	@KeeganAllen @united I also was fortunate once upon many moons ago to work with a partner company and fly standby.. They enforced dress code
@LisaBloom:	1 Before	Not a Complaint	@KeeganAllen @united I also was fortunate once upon many moons ago to work with a partner company and fly standby.. They enforced dress code
boys/men	1 Before	Not a Complaint	@AltHomelandSec @ALT_USCIS @united Why do you say that? :)
Why'm	1 Before	Not a Complaint	RT @jennvzande: @shannonrwatts Hey	 @united	 you know how this ends	 right? Images of women in leggings tagging you on social as they fly your competition.
asking?	1 Before	Not a Complaint	@shannonrwatts @crazyintherain @united you have your boys travel in yoga pants?
reason.…	1 Before	Not a Complaint	RT @colleencpa: My cousin is a pilot and when we fly standby w him we are aware of dress code. How hard is it? @EdTravelpants @chhopsky @united @GeoffThorne
@yashar	1 Before	High Intensity Complaint	RT @ryguyrg: @united even before you knew they were pass travelers	 you defended the action to bar them based on contract of carriage. so…
passes"	1 Before	General Negative Complaint	RT @shannonrwatts: A 10-year-old girl in gray leggings. She looked normal and appropriate. Apparently @united is policing the clothing…
Pretty	1 Before	General Negative Complaint	RT @shannonrwatts: 1) A @united gate agent isn't letting girls in leggings get on flight from Denver to Minneapolis because spandex is not…
teach	1 Before	General Negative Complaint	RT @shannonrwatts: A 10-year-old girl in gray leggings. She looked normal and appropriate. Apparently @united is policing the clothing…
now!	1 Before	General Negative Complaint	RT @shannonrwatts: A 10-year-old girl in gray leggings. She looked normal and appropriate. Apparently @united is policing the clothing…
While	1 Before	Low Intensity Complaint	@united @RebelMouse Customers leggings looks diffetent to these guys than employee daughter leggings Bunch of assholes have made these rules
help?	1 Before	General Negative Complaint	Vliegmaatschappij @united heeft twee tieners geweigerd op een vlucht. De reden: ze droegen een legging. - https://t.co/rIiG6nCP1Q https://t.co/8zioqPlCKW
alone	1 Before	General Negative Complaint	Vliegmaatschappij @united heeft twee tieners geweigerd op een vlucht. De reden: ze droegen een legging. - https://t.co/rIiG6nCP1Q https://t.co/8zioqPlCKW
heart	1 Before	General Negative Complaint	Shame on you	 @united. https://t.co/c6PEb2nCry
rough	1 Before	Not a Complaint	@WomanMDsGuide @ashuping @united @PattyArquette yeah	 where in the US is leggings not common appropriate attire for little girls?
@juiceDiem	1 Before	General Negative Complaint	RT @reallycb: No leggings on flights? Leggings @united really? 🙄 Celebs blast United for 'terrible' dress code https://t.co/Fon8sbd7Yu via @USATODAY
#Dreamliner	1 Before	General Negative Complaint	@appifanie @united right?? Done with them.
plenty	1 Before	Not a Complaint	Aren't they really typical in the US? What a strange decision by @united. Even after reading the story & the Twitter TL	 it's odd. https://t.co/EzTOHTeS8z
track	1 Before	Not a Complaint	@ginamused @nytimes @united the airline. Have you not worked in a corporate setting? This is about representing a company.
crazy	1 Before	Not a Complaint	I guess I will not being flying @united then. #legginsgate
national	1 Before	Not a Complaint	RT @united: The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.
pose	1 Before	General Negative Complaint	RT @Leafs24Seven: @united @shannonrwatts doesn't mean you should. Bad PR is bad for business
North	1 Before	General Negative Complaint	RT @JimNorton: I applaud @united for making those girls change their leggings. Nothing on a plane offends me more than a comfortable woman.
787…	1 Before	Not a Complaint	@5dodgerfans @united @baddestmamajama **you're**
necessary	1 Before	Not a Complaint	RT @PattyArquette: @united Leggings are business attire for 10 year olds. Their business is being children.
forgot	1 Before	Not a Complaint	@catherine_mayer @united I have family tickets for an airline and the rules state that I must wear smart casual in case I get moved to BC
Honored	1 Before	Low Intensity Complaint	@catherine_mayer @united I have family tickets for an airline and the rules state that I must wear smart casual in case I get moved to BC
Sponsor	1 Before	Low Intensity Complaint	@rljd @Liberalthelorax @anildash @femifesto @united They are flying for FREE bcz of family members who work for the airline!
@HIspanicize!	1 Before	Not a Complaint	@rljd @Liberalthelorax @anildash @femifesto @united They are flying for FREE bcz of family members who work for the airline!
costs	1 Before	General Negative Complaint	@united Never realized your policies were inspired by the Mayflower. Recommendation? Modify identity..."United Puritans." #leggingsonplanes
mistakes	1 Before	General Negative Complaint	RT @kdowlatshahi: Apparently both leggings and legroom are banned on @United https://t.co/zlzvvUnkTI
16	1 Before	General Negative Complaint	RT @kdowlatshahi: Apparently both leggings and legroom are banned on @United https://t.co/zlzvvUnkTI
Me	1 Before	Not a Complaint	This @united thing is insane. My dad worked for @delta & I had to tuck in my rat tail to fly standby. Didn't hear me complaining.
minutes.	1 Before	Not a Complaint	Good to see @united still getting a well deserved kicking. Keep it up people.
Linux	1 Before	General Negative Complaint	Good to see @united still getting a well deserved kicking. Keep it up people.
customers!	1 Before	General Negative Complaint	RT @mariskreizman: Your manic pixie dream girl name is the item of clothing that'd get you kicked off @United	 plus the last Fiona Apple song you listened to.
tonight.	1 Before	General Negative Complaint	WTF @united FUCK YOU FOR THIS. BODY SHAMMING WOMEN.
behaviour	1 Before	Not a Complaint	@ikaveri @united @qz that had a dress code for complimentary tickets to airline staff. Reason for allowing them to fly.
sues	1 Before	High Intensity Complaint	@Maduixeta_ @324cat @united Perquè si els empleats han de seguir unes normes	 les hauran de complir	 no?
@EPCoan	1 Before	General Negative Complaint	RT @Sethrogen: We here at @united are just trying to police the attire of the daughters of our employees! That's all! Cool	 right? https://t.co/xGyL4IAslE
pets	1 Before	General Negative Complaint	Don't give a shit if @united enforces their employee benefit dress code. @AmericanAir flight attendants are rude to everyone. #fakenews
DISGUSTING.	1 Before	Not a Complaint	RT @united: The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.
switch.	1 Before	High Intensity Complaint	@shannonrwatts I will not be flying @united I will wear my leggings on @AlaskaAir !!!! #UnitedAirlinesFAIL
flights:	1 Before	General Negative Complaint	RT @shannonrwatts: 2) She's forcing them to change or put dresses on over leggings or they can't board. Since when does @united police women's clothing?
justify	1 Before	General Negative Complaint	RT @muskrat_john: I enjoy imaging that	 instead of employee whose initials are "FS	" it's @United crying "F**KS SAKE!" every time it…
volunteer.	1 Before	Not a Complaint	Is @United now enforcing a form of corporate fashion sharia on passengers? Are burkas going to be required in the future? #Airlines #travel https://t.co/iy9e01QsTS
@TheGingerarchy:	1 Before	General Negative Complaint	RT @shannonrwatts: A 10-year-old girl in gray leggings. She looked normal and appropriate. Apparently @united is policing the clothing…
flight...	1 Before	General Negative Complaint	@BradThor @united I hope she stays the hell off @SouthwestAir.
deserves	1 Before	High Intensity Complaint	RT @united: The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.
officer	1 Before	Not a Complaint	RT @WilliamShatner: @PattyArquette @Shananigans @united @shannonrwatts See? 👇🏻 I've done it before! 👍🏻 https://t.co/MC6P144kjL
accommodate	1 Before	General Negative Complaint	The @united leggings incident has gone viral but many don't know what really happened. Here's an unbiased look at the timeline of events https://t.co/YjMsCV5KM4
eye	1 Before	Not a Complaint	RT @united: To our customers…your leggings are welcome! Learn more about our company’s pass travel privilege: https://t.co/5e3euG1H9G.
Horrible	1 Before	Not a Complaint	RT @GordonDeal: Thurs	 I provided feedback to @united about my experience with them on Twitter. Today	 we go through this dance. https://t.co/utwpsWzXDW
meaning	1 Before	Not a Complaint	RT @shannonrwatts: 3) As the mother of 4 daughters who live and travel in yoga pants	 I'd like to know how many boys @United has penalized…
horrifying	1 Before	Low Intensity Complaint	RT @shannonrwatts: 3) As the mother of 4 daughters who live and travel in yoga pants	 I'd like to know how many boys @United has penalized…
Look	1 Before	General Negative Complaint	RT @shannonrwatts: 1) A @united gate agent isn't letting girls in leggings get on flight from Denver to Minneapolis because spandex is not…
@WaveyMarcelo:	1 Before	General Negative Complaint	@united i don't understand why an airline would further entrench itself when there are so many alternative airlines.
AYOO	1 Before	Not a Complaint	@Sethrogen @united @SarahKSilverman no they do this across the board. Policy. consistent practice @SouthwestAir all the same
TRAINING	1 Before	General Negative Complaint	Just an antiquated internal policy not in line with the times and a self-made PR landmine	 @united. Do better. https://t.co/rsx1W3wuoN
VIDEO?	1 Before	High Intensity Complaint	RT @John_Hempton: @united No	 its only the children of your staff you humiliate. That is the United Way.
avoided	1 Before	General Negative Complaint	@SportMgmtProf I do wonder if the CEO is even awake @united.
saved	1 Before	General Negative Complaint	@united gate agent isn't letting girls in leggings get on flight from Denver to Minneapolis because spandex is not allowed?
@yapings:	1 Before	General Negative Complaint	Gravy. If there's an issue that has both @Sethrogen and @SarahKSilverman's panties in a knot	 I know to side with @united.
move?	1 Before	Not a Complaint	Gravy. If there's an issue that has both @Sethrogen and @SarahKSilverman's panties in a knot	 I know to side with @united.
@Tyler_Bridges…	1 Before	Not a Complaint	@CanadianDadBlog @Sethrogen @united @SarahKSilverman ....gacethose girls the $to fly any airline and wear whatever they want	 since ....
raising	1 Before	General Negative Complaint	@Jarmadillos @united as long as you aren't flying on an employee pass you can. Buy a ticket if you don't want to follow dress code
CEO's	1 Before	General Negative Complaint	RT @PattyArquette: @shannonrwatts @maysoonzayid @united This is terrible.
wow	1 Before	Not a Complaint	@united support 100% from an American Airlines customer.
@SylviaNgSocial:	1 Before	General Negative Complaint	Celebs are blasting @united for its "outdated" dress code. https://t.co/dddrWKTQ46 https://t.co/stsUNQIAyw
abandoning	1 Before	General Negative Complaint	RT @shannonrwatts: So close @United... but no cigar. https://t.co/fShnaevy76
ambulance	1 Before	High Intensity Complaint	@USATODAY @united It's nonsense. Both sexes have uniform codes.
web	1 Before	Not a Complaint	RT @Deesing: @united yeah every time I see a 10 year old on a plane I assume she's representing the airline Idiots
steps	1 Before	General Negative Complaint	RT @Deesing: @united yeah every time I see a 10 year old on a plane I assume she's representing the airline Idiots
backwards	1 Before	Not a Complaint	@shannonrwatts @united 2 The rules on buddy pass are published. Accepting a buddy pass is accepting the rules. Don't like it? Pay the fare
millions	1 Before	Not a Complaint	RT @united: To our customers…your leggings are welcome! Learn more about our company’s pass travel privilege: https://t.co/5e3euG1H9G.
Fixed	1 Before	General Negative Complaint	#customerservice @united just bc you CAN hide behind a shitty policy doesn't mean you should. Also	 SHITTY policy. SHITTY response.
.@Delta	1 Before	General Negative Complaint	Good for you @united won't let my girls wear underwear tights (aka stockings	 leggings) by themselves. https://t.co/QdPlOI59LF
play	1 Before	Low Intensity Complaint	Good for you @united won't let my girls wear underwear tights (aka stockings	 leggings) by themselves. https://t.co/QdPlOI59LF
מה	1 Before	General Negative Complaint	RT @imUnfair: @JeffreyGuterman @united Rules for employees & family flying free	 not normal customers. Spandex is the key term	 s…
courtesy	1 Before	Not a Complaint	RT @absurdistwords: Dear @United. Your dress code policy "protects United's image" An image you have now damaged WAY more by defendi…
mid	1 Before	High Intensity Complaint	RT @united: The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.
financial	1 Before	Not a Complaint	RT @aimeetavares: @united @baddestmamajama Is this OK? @united https://t.co/DnnunehBCB
MUCH	1 Before	General Negative Complaint	@united you should be ashamed of yourself. If girls want to wear legging let them wear leggings
avoiding	1 Before	Not a Complaint	@fuzzyblumonster @therhondamarie @elspethmchugh @APettyJ @markhughesfilms @united that's nice... so??
to…	1 Before	General Negative Complaint	@John_Rhode @united @KeeganAllen then i'd rather pay than have my kids clothing policed..
deplane	1 Before	General Negative Complaint	@annagitana1 @shannonrwatts @united @RebelMouse Would you take a $15 flight across the country on the condition you couldn't wear leggings?
OF	1 Before	Not a Complaint	RT @JeremyPond: @united Really? https://t.co/O9RplgrTsv
@RyanRuggiero:	1 Before	General Negative Complaint	@mm_mcn @LaniKaiDuck @peterkohan @Jarmadillos @united I'm not a Nonrev flyer. After this PR disaster	 I'll def be taking my $ elsewhere.
INBOX:	1 Before	Not a Complaint	@FoxNews @united Don't be mad at United for not wanting trash on their planes.
#UnitedAirlinesAssault	1 Before	General Negative Complaint	@FoxNews @united ...And the terrorists won with the September 11th tax on my airline ticket so thanks
tone	1 Before	General Negative Complaint	@FoxNews @united this is NOT news worthy. Hey snowflakes put some pants on or buy a ticket!!!!!!
down.	1 Before	Low Intensity Complaint	@WendyBrandes @united Honestly
12	1 Before	High Intensity Complaint	@WendyBrandes @united Honestly
protocol	1 Before	General Negative Complaint	Two travelers were barred from boarding a @united flight because they were wearing leggings. Is this a fair dress code? https://t.co/orlwU9xGBC
@courierjournal	1 Before	Low Intensity Complaint	@AJFin81 @USATODAY @united i've been gifted tickets from United before and I've never been issued a dress code… United screwed up
CEO.	1 Before	Not a Complaint	@TheCosby @united Between them and AA. Poor choices in handling situations def has me hesitant in buying tix from them
Kimmel	1 Before	General Negative Complaint	@ReignOfApril As thin as airline margins are	 they don't have room to disrespect their clients in this manner. Goodbye @united stock prices.
$1	1 Before	High Intensity Complaint	As a loyal @united flyer for decades	 let me just say this is some SEXIST BULLSH*T. The dad was wearing shorts	 eh??!? https://t.co/AYjPhzMSBd
via…	1 Before	Not a Complaint	@rowefinkbeiner @shannonrwatts @united it is a policy for employees for free flight passes
beatings	1 Before	General Negative Complaint	@united How sad that psychotic prudes are in charge of what people can wear in public.
@jimmykimmel:	1 Before	Not a Complaint	@FoxNews @united If the flights were free then yes	 they should adhere to the dress code. They do become representatives for the company.
lo	1 Before	Not a Complaint	@FoxNews @united if I was getting free travel	 and United required an evening gown	 I'm wearing an evening gown... Grow up folks...
@BASEDJESUS:	1 Before	General Negative Complaint	RT @jennvzande: @shannonrwatts Hey	 @united	 you know how this ends	 right? Images of women in leggings tagging you on social as they fly your competition.
recorded	1 Before	Not a Complaint	@FoxNews @united AS USUAL! Busybodies post by reaction & without context of facts. Any (thinking) person would know a reason existed ....
THANKS	1 Before	General Negative Complaint	So leggings(casual attire) is not allowed because they don't look 'neat'. What wrong do leggings do to the 'local environment' @united ?? https://t.co/ddZ3yib3j4
@Transport	1 Before	High Intensity Complaint	PAY for your ticket	 wear whatever you want-- even if you show your lack of taste. NO PAY	 follow the rules. I'm with @united on this one!!
10k	1 Before	Not a Complaint	RT @USATODAY: Celebs are blasting @united for its "outdated" dress code. https://t.co/dddrWKTQ46 https://t.co/stsUNQIAyw
te	1 Before	General Negative Complaint	Sorry; if you use the free travel benefit	 you're subject to the rules governing same	 including dress codes #StopShamingGirls @united
finds	1 Before	General Negative Complaint	Sorry; if you use the free travel benefit	 you're subject to the rules governing same	 including dress codes #StopShamingGirls @united
threatens	1 Before	Not a Complaint	@sallykohn @united https://t.co/3WAgZ88zRw
@alberMoire	1 Before	Not a Complaint	@subzerov690 @united they were non revs
@jfouts	1 Before	High Intensity Complaint	RT @united: @keithbdixon Anytime you need us	 we're only one tweet away. Cheers. ^JR
@bryankramer	1 Before	Not a Complaint	Flying is uncomfortable	 passengers should be allowed to wear comfortable clothes. Not buying 'but they were pass riders!" excuse	 @united https://t.co/t1BmKVgi2h
@websuccess	1 Before	High Intensity Complaint	@Newsweek @united one time u guys cancelled my flight wouldn't give me a reason why and then put me on a fuckin train instead
@ZalkaB	1 Before	General Negative Complaint	Using my first and only tweet to thank @united for reminding me to book @Delta for my trip	 as they aren't PR inept sexist dog kickers.
@JuliaEMcCoy	1 Before	Not a Complaint	RT @Sethrogen: We here at @united are just trying to police the attire of the daughters of our employees! That's all! Cool	 right? https://t.co/xGyL4IAslE
@cshasarrived	1 Before	General Negative Complaint	@GMA let's not forget that @united also kicked a mother and her autistic child off a plane a few years ago. #neverUnited
@MikeBarzacchini	1 Before	General Negative Complaint	Who can tell a "pass traveler" from a paid traveler anyway? Do they have signs on their foreheads? I think not. @united #leggings #united
@joelmharrison	1 Before	Not a Complaint	@shannonrwatts @united sounds like Victim Blaming
@mehulgohil	1 Before	High Intensity Complaint	RT @ButtersV2: @united @baddestmamajama I'm a 35 y/o woman who is 8 months pregnant & exclusively wears leggings. Should I cancel my flight w/u next week?
@SabrinaCadini	1 Before	General Negative Complaint	RT @ButtersV2: @united @baddestmamajama I'm a 35 y/o woman who is 8 months pregnant & exclusively wears leggings. Should I cancel my flight w/u next week?
@PegFitzpatrick	1 Before	General Negative Complaint	@united that policy is outdated and should be reevaluated. It is NOT acceptable to tell women how to dress https://t.co/wviqZpHzkX
died	1 Before	General Negative Complaint	@firescotch @united if we let them take our jorts	 what's next? Our zubas? Our tshirts that change colour?
beach	1 Before	Not a Complaint	RT @JeremyPond: @united Really? https://t.co/O9RplgrTsv
